t=2026-03-27T00:41:20-0400 lvl=info msg="no configuration paths supplied"
t=2026-03-27T00:41:20-0400 lvl=info msg="using configuration at default config path" path=/home/siqiouya/.config/ngrok/ngrok.yml
t=2026-03-27T00:41:20-0400 lvl=info msg="open config file" path=/home/siqiouya/.config/ngrok/ngrok.yml err=nil
t=2026-03-28T23:01:09-0400 lvl=info msg="join connections" obj=join id=518a51aadb87 l=127.0.0.1:8199 r=3.228.45.243:50465
t=2026-03-28T23:01:10-0400 lvl=info msg="join connections" obj=join id=b3f31a3fb578 l=127.0.0.1:8199 r=3.228.45.243:17502
t=2026-03-28T23:01:11-0400 lvl=info msg="join connections" obj=join id=66cc9907ee54 l=127.0.0.1:8199 r=3.228.45.243:63449
t=2026-03-28T23:01:12-0400 lvl=info msg="join connections" obj=join id=59c8d8a354b8 l=127.0.0.1:8199 r=3.228.45.243:58766
t=2026-03-28T23:01:13-0400 lvl=info msg="join connections" obj=join id=d9f56cf38245 l=127.0.0.1:8199 r=3.228.45.243:42108
t=2026-03-28T23:01:14-0400 lvl=info msg="join connections" obj=join id=e4d92bbbcd6e l=127.0.0.1:8199 r=3.228.45.243:53923
t=2026-03-28T23:01:15-0400 lvl=info msg="join connections" obj=join id=f4f0396f02a6 l=127.0.0.1:8199 r=3.228.45.243:31660
t=2026-03-28T23:01:16-0400 lvl=info msg="join connections" obj=join id=333b30c0ee69 l=127.0.0.1:8199 r=3.228.45.243:16613
t=2026-03-28T23:01:17-0400 lvl=info msg="join connections" obj=join id=494600f1470e l=127.0.0.1:8199 r=3.228.45.243:21457
t=2026-03-28T23:01:18-0400 lvl=info msg="join connections" obj=join id=975f7dca8cee l=127.0.0.1:8199 r=3.228.45.243:41116
t=2026-03-28T23:01:19-0400 lvl=info msg="join connections" obj=join id=2b99a0d94a16 l=127.0.0.1:8199 r=3.228.45.243:64414
t=2026-03-28T23:01:20-0400 lvl=info msg="join connections" obj=join id=7a457a13219b l=127.0.0.1:8199 r=3.228.45.243:34443
t=2026-03-28T23:01:21-0400 lvl=info msg="join connections" obj=join id=c6384a3921ec l=127.0.0.1:8199 r=3.228.45.243:3936
t=2026-03-28T23:01:22-0400 lvl=info msg="join connections" obj=join id=e9f16a2ad871 l=127.0.0.1:8199 r=3.228.45.243:53627
t=2026-03-28T23:01:23-0400 lvl=info msg="join connections" obj=join id=e3d104c6a8e6 l=127.0.0.1:8199 r=3.228.45.243:52638
t=2026-03-28T23:01:25-0400 lvl=info msg="join connections" obj=join id=9e24123081fb l=127.0.0.1:8199 r=3.228.45.243:65057
t=2026-03-28T23:01:26-0400 lvl=info msg="join connections" obj=join id=3aef043bbfc4 l=127.0.0.1:8199 r=3.228.45.243:1148
t=2026-03-28T23:01:27-0400 lvl=info msg="join connections" obj=join id=47f5cbafc859 l=127.0.0.1:8199 r=3.228.45.243:37763
